Path_ID,BIOME_ID,P1_longitude,P1_latitude,P2_longitude,P2_latitude,Distance (km),i,j,category,m
5,-,94.32851658,55.80590682,93.2250349,55.87027694,69.50655843,570,413,2,21600
5,-,93.2250349,55.87027694,93.1087194,56.02595107,18.7946225,413,292,2,21600
5,-,93.1087194,56.02595107,92.79134466,56.03820098,19.83242452,292,475,2,21600
5,-,92.79134466,56.03820098,91.78817421,56.0700289,62.60292646,475,688,2,21600
5,-,91.78817421,56.0700289,90.17642311,56.297545,103.2374724,688,782,2,21600
5,-,90.17642311,56.297545,88.94145485,56.06442661,80.9646977,782,556,2,21600
5,-,88.94145485,56.06442661,86.46276168,56.20649004,154.912278,556,1239,2,21600
5,-,86.46276168,56.20649004,84.23889285,55.61905892,153.6687875,1239,368,2,21600
5,-,84.23889285,55.61905892,83.04143614,55.13121896,93.33920552,368,107,2,21600
5,-,83.04143614,55.13121896,82.95138422,55.02996014,12.65500147,107,313,2,21600
5,-,82.90239301,54.9976473,79.72089963,55.29872453,205.5774375,1151,136,2,21600
5,-,79.72089963,55.29872453,77.68622885,55.35785597,129.3047661,136,714,2,21600
5,-,77.68622885,55.35785597,75.47847315,55.11515933,143.0198724,714,552,2,21600
5,-,75.47847315,55.11515933,73.25033014,54.93572376,143.8847329,552,388,2,21600
5,-,82.95138422,55.02996014,82.90239301,54.9976473,4.770971681,313,1151,2,21600
5,-,50.70260437,58.48113472,50.32809716,58.41703863,23.00362965,604,270,2,21600
5,-,50.32809716,58.41703863,49.48400055,58.5203795,50.58657195,270,314,2,21600
5,-,49.48400055,58.5203795,48.33632238,58.32400055,70.54080545,314,619,2,21600
5,-,48.33632238,58.32400055,46.61672147,57.67133415,124.9953025,619,784,2,21600
5,-,46.61672147,57.67133415,45.64011015,57.42538148,64.57198076,784,972,2,21600
5,-,45.64011015,57.42538148,44.17516889,56.67678133,121.8715347,972,719,2,21600
5,-,44.17516889,56.67678133,43.94798972,56.32279409,41.82610202,719,248,2,21600
5,-,43.94798972,56.32279409,42.35533244,56.10073919,101.8696129,248,600,2,21600
5,-,42.35533244,56.10073919,41.43173506,56.39324285,65.8718325,600,954,2,21600
5,-,41.43173506,56.39324285,40.41875405,56.13991918,68.8127173,954,1341,2,21600
5,-,40.41875405,56.13991918,39.18024424,55.92955952,80.67805083,1341,938,2,21600
5,-,39.18024424,55.92955952,38.8832731,55.74606326,27.63313586,938,1130,2,21600
5,-,38.8832731,55.74606326,38.67838744,55.77579775,13.28139474,1130,697,2,21600
5,-,38.67838744,55.77579775,38.40184762,55.71990191,18.44764328,697,1385,2,21600
5,-,38.40184762,55.71990191,37.90358379,55.7609414,31.62783041,1385,162,2,21600
5,-,37.90358379,55.7609414,37.77295924,55.73516366,8.690551712,162,739,2,21600
5,-,37.77295924,55.73516366,37.73695785,55.7505653,2.837799422,739,176,2,21600
5,-,37.73695785,55.7505653,37.71662961,55.77195558,2.701901433,176,997,2,21600
5,-,37.71662961,55.77195558,37.708557,55.78006772,1.03555506,997,487,2,21600
5,-,37.708557,55.78006772,37.68252305,55.7818759,1.645863285,487,138,2,21600
5,-,37.68252305,55.7818759,37.65557082,55.77365165,1.923230765,138,948,2,21600
5,-,37.65557082,55.77365165,37.61552283,55.75216412,3.470377469,948,20,2,21600
5,-,37.61552283,55.75216412,37.5948023,55.82657456,8.38605807,20,65,2,21600
5,-,37.5948023,55.82657456,37.17540125,55.9863616,31.69473823,65,423,2,21600
5,-,37.17540125,55.9863616,36.70083638,56.34506431,49.64249582,423,899,2,21600
5,-,36.70083638,56.34506431,35.39327915,57.16507547,121.3855559,899,792,2,21600
5,-,35.39327915,57.16507547,34.7844257,57.55423494,56.75383535,792,842,2,21600
5,-,34.7844257,57.55423494,34.51641743,57.60671353,17.06505207,842,310,2,21600
5,-,34.51641743,57.60671353,32.81719498,58.61101002,150.1480409,310,462,2,21600
5,-,32.81719498,58.61101002,31.8003151,59.05082736,76.4815897,462,437,2,21600
5,-,31.8003151,59.05082736,31.77318209,59.07475784,3.086975735,437,597,2,21600
5,-,31.77318209,59.07475784,30.8570219,59.55902862,75.04736009,597,1227,2,21600
5,-,30.8570219,59.55902862,30.37660882,59.90389619,46.97273488,1227,429,2,21600
5,-,30.37660882,59.90389619,30.36248259,59.92888612,2.894124371,429,1156,2,21600
5,-,30.36248259,59.92888612,30.31602006,59.93901451,2.832270856,1156,905,2,21600
5,-,37.61552283,55.75216412,36.89572706,55.61471352,47.79246315,20,1082,2,21600
5,-,36.89572706,55.61471352,36.46834546,55.5993747,26.98948863,1082,151,2,21600
5,-,36.46834546,55.5993747,36.04204274,55.49181463,29.4536233,151,1272,2,21600
5,-,36.04204274,55.49181463,34.8050831,55.5319209,78.27366789,1272,10,2,21600
5,-,34.8050831,55.5319209,34.2769933,55.17706798,51.79440999,10,874,2,21600
5,-,34.2769933,55.17706798,32.34378023,54.81224962,130.2203908,874,193,2,21600
5,-,32.34378023,54.81224962,30.43869477,54.60243358,124.9973,193,767,2,21600
5,-,30.43869477,54.60243358,29.52088672,54.31829229,67.40108001,767,174,2,21600
5,-,29.52088672,54.31829229,28.57741099,54.25213264,61.8847191,174,518,2,21600
5,-,28.57741099,54.25213264,27.56428895,53.88999845,77.60989017,518,1,2,21600
5,-,27.56428895,53.88999845,26.61891102,53.45342468,79.14955029,1,37,2,21600
5,-,26.61891102,53.45342468,25.90224682,53.13937744,59.20207874,37,246,2,21600
5,-,25.90224682,53.13937744,25.17528315,52.63845165,74.17340174,246,1283,2,21600
5,-,25.17528315,52.63845165,24.30989712,52.40305058,64.31631218,1283,257,2,21600
5,-,24.30989712,52.40305058,23.15843643,52.022329,89.38021925,257,1263,2,21600
5,-,23.15843643,52.022329,21.99857995,51.96623414,79.91005372,1263,370,2,21600
5,-,21.99857995,51.96623414,21.07360489,52.25939113,71.26798228,370,1367,2,21600
5,-,21.07360489,52.25939113,19.97860546,52.09149019,77.20181049,1367,794,2,21600
5,-,19.97860546,52.09149019,19.36029,52.22328482,44.7844996,794,1061,2,21600
5,-,19.36029,52.22328482,18.26300882,52.23093649,74.9812579,1061,593,2,21600
5,-,18.26300882,52.23093649,16.887369,52.37984732,95.28221631,593,190,2,21600
5,-,16.887369,52.37984732,15.52781224,52.24222438,93.97774635,190,1289,2,21600
5,-,15.52781224,52.24222438,14.34943912,52.33233911,81.03113674,1289,527,2,21600
5,-,14.34943912,52.33233911,13.40195346,52.52181866,67.81092427,527,195,2,21600
5,-,13.19281843,52.53551009,12.43107746,52.86573637,63.26123675,976,183,2,21600
5,-,12.43107746,52.86573637,12.08121205,52.90431344,23.93939287,183,450,2,21600
5,-,12.08121205,52.90431344,11.76150023,53.00855921,24.4179794,450,398,2,21600
5,-,11.76150023,53.00855921,11.71774787,53.21174174,22.80087842,398,198,2,21600
5,-,11.71774787,53.21174174,11.21158622,53.41174785,40.41833391,198,442,2,21600
5,-,11.21158622,53.41174785,10.74358668,53.3819801,31.30705178,442,830,2,21600
5,-,10.74358668,53.3819801,10.32165201,53.53044242,32.53578982,830,1270,2,21600
5,-,10.32165201,53.53044242,10.02439681,53.55240212,19.85730688,1270,146,2,21600
5,-,10.02439681,53.55240212,9.999999144,53.55002464,1.638560857,146,84,2,21600
5,-,103.431598,36.51044802,102.5738061,37.97721934,179.69644,1024,633,2,21600
5,-,104.7101754,34.80979243,107.1071256,34.35205379,225.7025232,1093,265,2,21600
5,-,107.1071256,34.35205379,108.8949963,34.27502545,164.7822569,265,690,2,21600
5,-,108.8949963,34.27502545,111.160865,34.73458177,214.2336301,690,850,2,21600
5,-,111.160865,34.73458177,113.6650927,34.75499615,229.3191372,850,1399,2,21600
5,-,103.431598,36.51044802,104.7101754,34.80979243,221.3723534,1024,1093,2,21600
5,-,107.1071256,34.35205379,106.0302948,33.43571996,142.307963,265,1123,2,21600
5,-,106.0302948,33.43571996,109.0655883,32.65850079,296.3071575,1123,45,2,21600
5,-,109.0655883,32.65850079,108.1495083,32.27638143,95.98131677,45,28,2,21600
5,-,108.1495083,32.27638143,107.2410857,30.96979037,168.5723064,28,944,2,21600
5,-,107.2410857,30.96979037,106.5949816,29.56497703,167.6838922,944,152,2,21600
5,-,106.5949816,29.56497703,106.9332353,27.69859008,209.4784411,152,232,2,21600
5,-,106.9332353,27.69859008,106.6399941,26.66927813,117.6976494,232,861,2,21600
5,-,106.6399941,26.66927813,107.8792508,26.52697543,124.4388581,861,300,2,21600
5,-,107.8792508,26.52697543,109.9059192,27.54422241,230.5221873,300,882,2,21600
5,-,109.9059192,27.54422241,110.8239958,28.13233752,111.4738778,882,400,2,21600
5,-,110.8239958,28.13233752,111.4920483,27.62108171,86.81925677,400,341,2,21600
5,-,111.4920483,27.62108171,112.5349761,27.76852453,104.1609819,341,1323,2,21600
5,-,112.5349761,27.76852453,112.8582247,27.90913046,35.45035013,1323,1290,2,21600
5,-,112.8582247,27.90913046,112.969993,28.19996991,34.05249771,1290,414,2,21600
5,-,112.969993,28.19996991,113.1432539,27.85579726,41.77364185,414,4,2,21600
5,-,113.1432539,27.85579726,113.7297067,27.59426765,64.68581459,4,381,2,21600
5,-,113.7297067,27.59426765,115.0587596,27.8423401,133.9175885,381,493,2,21600
5,-,115.0587596,27.8423401,115.9481932,28.31769079,102.0660355,493,1382,2,21600
5,-,115.9481932,28.31769079,116.8948383,28.27689372,92.9667502,1382,498,2,21600
5,-,116.8948383,28.27689372,118.2956199,28.62890356,142.64053,498,963,2,21600
5,-,118.2956199,28.62890356,119.9340826,29.2187821,172.6239346,963,520,2,21600
5,-,112.969993,28.19996991,112.9349599,28.34983383,16.96043282,414,1386,2,21600
5,-,112.9349599,28.34983383,113.1941587,29.38496793,117.4814463,1386,1164,2,21600
5,-,113.1941587,29.38496793,114.3851924,29.97224961,132.3953533,1164,777,2,21600
5,-,114.3851924,29.97224961,114.3336777,30.7507069,86.44063598,777,1258,2,21600
5,-,119.9340826,29.2187821,120.3155376,30.15881389,110.546862,520,289,2,21600
5,-,120.3155376,30.15881389,120.2231937,30.29105088,17.14417311,289,1009,2,21600
5,-,120.2231937,30.29105088,121.4365047,31.21645245,154.9875915,1009,1103,2,21600
5,-,13.40195346,52.52181866,13.37020083,52.52519986,2.187774131,195,1371,2,21600
5,-,13.37020083,52.52519986,13.35705594,52.53738356,1.622913224,1371,1269,2,21600
5,-,13.35705594,52.53738356,13.28291546,52.52811555,5.135770781,1269,1038,2,21600
5,-,13.28291546,52.52811555,13.19281843,52.53551009,6.169214091,1038,976,2,21600
5,-,13.19281843,52.53551009,12.87755858,52.55618246,21.51043263,976,886,2,21600
5,-,12.87755858,52.55618246,11.8630533,52.5956961,68.91636101,886,658,2,21600
5,-,11.8630533,52.5956961,10.94685286,52.43237944,64.7996204,658,539,2,21600
5,-,10.94685286,52.43237944,10.67135043,52.4211676,18.78197378,539,1083,2,21600
5,-,10.67135043,52.4211676,10.35943467,52.45636761,21.57028276,1083,199,2,21600
5,-,10.35943467,52.45636761,9.969545131,52.37997007,27.85550268,199,933,2,21600
5,-,9.969545131,52.37997007,9.761115954,52.37278308,14.21664867,933,1422,2,21600
5,-,4.333316608,50.83331708,4.209939527,50.83801555,8.707043799,824,1441,2,21600
5,-,4.209939527,50.83801555,4.056148017,50.90261449,12.99396859,1441,1203,2,21600
5,-,4.056148017,50.90261449,3.203483531,50.79161116,61.30767965,1203,930,2,21600
5,-,3.203483531,50.79161116,3.140390359,50.68054167,13.13402991,930,202,2,21600
5,-,3.140390359,50.68054167,3.00880661,50.46152514,26.08583455,202,100,2,21600
5,-,3.00880661,50.46152514,3.041734775,50.34348665,13.33728898,100,459,2,21600
5,-,3.041734775,50.34348665,2.774789815,50.28293181,20.17201791,459,1448,2,21600
5,-,2.774789815,50.28293181,2.779228392,50.12325188,17.7645004,1448,426,2,21600
5,-,2.779228392,50.12325188,2.629932365,49.97652956,19.51091624,426,1168,2,21600
5,-,2.629932365,49.97652956,2.347325195,49.8666157,23.69249527,1168,472,2,21600
5,-,2.347325195,49.8666157,2.335651436,49.67819106,20.97433269,472,415,2,21600
5,-,2.335651436,49.67819106,2.52191019,49.06475877,69.55213085,415,665,2,21600
5,-,2.52191019,49.06475877,2.342858016,48.94416399,18.74789798,665,1307,2,21600
5,-,2.342858016,48.94416399,2.333335326,48.86669293,8.643632094,1307,1003,2,21600
5,-,2.333335326,48.86669293,2.423899291,48.74563817,15.01599842,1003,966,2,21600
5,-,2.423899291,48.74563817,2.305183921,48.64716708,14.01019482,966,1218,2,21600
5,-,2.305183921,48.64716708,1.919871102,48.15637471,61.58242226,1218,747,2,21600
5,-,1.919871102,48.15637471,2.019116915,47.60858707,61.35808939,747,111,2,21600
5,-,2.019116915,47.60858707,2.030746204,47.00352049,67.27511849,111,773,2,21600
5,-,2.030746204,47.00352049,1.858657123,46.87784414,19.15424931,773,1312,2,21600
5,-,1.858657123,46.87784414,1.542333485,46.6684855,33.54641359,1312,871,2,21600
5,-,1.542333485,46.6684855,1.537929833,46.35462383,34.89091019,871,1295,2,21600
5,-,1.537929833,46.35462383,1.500575848,46.03095619,36.09267059,1295,827,2,21600
5,-,1.500575848,46.03095619,1.249058933,45.79553494,32.64192367,827,919,2,21600
5,-,1.249058933,45.79553494,1.57156565,45.4378075,47.04814186,919,993,2,21600
5,-,1.57156565,45.4378075,1.479362165,44.9061326,59.53065007,993,473,2,21600
5,-,1.479362165,44.9061326,1.378591053,44.59204748,35.80392843,473,1296,2,21600
5,-,1.378591053,44.59204748,1.538821918,44.18658971,46.82838291,1296,760,2,21600
5,-,1.538821918,44.18658971,1.25888507,43.91674178,37.4468223,760,1193,2,21600
5,-,1.25888507,43.91674178,1.460417694,43.59107303,39.65771983,1193,192,2,21600
5,-,1.460417694,43.59107303,1.208692272,43.28823209,39.33642009,192,623,2,21600
5,-,1.208692272,43.28823209,0.882727089,43.10810617,33.20212275,623,746,2,21600
5,-,0.882727089,43.10810617,0.535141571,43.07415694,28.55072515,746,1057,2,21600
5,-,0.535141571,43.07415694,0.076768706,43.24438265,41.80182499,1057,1012,2,21600
5,-,0.076768706,43.24438265,-0.384774054,43.30010839,37.97604829,1012,490,2,21600
5,-,-0.384774054,43.30010839,-0.603912763,43.19758966,21.1290699,490,870,2,21600
5,-,-0.603912763,43.19758966,-0.539199938,42.57482027,69.38544965,870,514,2,21600
5,-,-0.539199938,42.57482027,-0.738275804,42.38293029,26.87584133,514,991,2,21600
5,-,-0.738275804,42.38293029,-0.685348722,42.20117483,20.65567085,991,624,2,21600
5,-,-0.685348722,42.20117483,-0.729925469,41.95558427,27.52718661,624,931,2,21600
5,-,-0.729925469,41.95558427,-0.85921978,41.68460875,31.95678877,931,865,2,21600
5,-,-0.85921978,41.68460875,-2.344315197,41.1834752,136.0299359,865,1402,2,21600
5,-,-2.344315197,41.1834752,-3.679022863,40.40002626,142.3311282,1402,806,2,21600
5,-,114.3336777,30.7507069,114.2343157,31.46120916,79.34254801,1258,929,2,21600
5,-,114.2343157,31.46120916,114.0386977,33.56910812,234.4787289,929,369,2,21600
5,-,114.0386977,33.56910812,113.8263301,34.53267602,108.6657195,369,41,2,21600
5,-,113.8263301,34.53267602,113.6650927,34.75499615,28.75379516,41,1399,2,21600
5,-,113.6650927,34.75499615,114.381882,35.95967245,148.6865834,1399,1428,2,21600
5,-,114.381882,35.95967245,114.5790048,37.41894225,162.8932107,1428,622,2,21600
5,-,114.5790048,37.41894225,114.4773634,38.02649512,68.02581649,622,316,2,21600
5,-,114.4773634,38.02649512,115.4643059,38.8402432,124.8392319,316,925,2,21600
5,-,115.4643059,38.8402432,116.249697,39.76560468,123.0586686,925,586,2,21600
5,-,116.249697,39.76560468,116.3882857,39.92889223,21.66522757,586,848,2,21600
5,-,114.0797973,22.51167556,113.8170763,23.19026176,79.8390596,18,191,2,21600
5,-,113.8170763,23.19026176,113.3250101,23.1449813,50.63426628,191,1148,2,21600
5,-,113.3250101,23.1449813,113.0535388,23.44557636,43.35289852,1148,401,2,21600
5,-,113.0535388,23.44557636,113.5952266,24.8132629,161.1812153,401,1015,2,21600
5,-,113.5952266,24.8132629,113.056863,25.25820457,73.35686702,1015,432,2,21600
5,-,113.056863,25.25820457,112.6721344,26.89770342,185.6722236,432,501,2,21600
5,-,112.6721344,26.89770342,113.0217807,27.47418566,72.6689625,501,165,2,21600
5,-,113.0217807,27.47418566,112.969993,28.19996991,80.5907438,165,414,2,21600
5,-,4.489608181,51.92001966,4.571912408,51.84360783,10.21775416,123,1142,2,21600
5,-,4.571912408,51.84360783,4.669196004,51.68084826,19.31454003,1142,1445,2,21600
5,-,4.669196004,51.68084826,4.447394811,51.52333699,23.30825313,1445,912,2,21600
5,-,4.447394811,51.52333699,4.421059471,51.2146728,34.38947449,912,247,2,21600
5,-,4.421059471,51.2146728,4.487395667,51.11429176,12.09317525,247,512,2,21600
5,-,4.487395667,51.11429176,4.383885464,50.88143705,26.90453477,512,17,2,21600
5,-,4.383885464,50.88143705,4.333316608,50.83331708,6.429192324,17,824,2,21600
5,-,4.571912408,51.84360783,4.968714811,51.83399529,27.37024765,1142,1262,2,21600
5,-,4.968714811,51.83399529,5.266673921,51.89516726,21.62400131,1262,8,2,21600
5,-,5.266673921,51.89516726,5.305459251,51.5995142,33.00399377,8,924,2,21600
5,-,5.305459251,51.5995142,5.473414982,51.44210336,21.03838333,924,786,2,21600
5,-,5.473414982,51.44210336,6.035749055,51.42952029,39.12855245,786,23,2,21600
5,-,6.035749055,51.42952029,6.345702181,51.25525862,29.02276529,23,1054,2,21600
5,-,6.345702181,51.25525862,6.590761501,51.33190307,19.10254793,1054,484,2,21600
5,-,6.590761501,51.33190307,6.779621955,51.22594381,17.68113137,484,69,2,21600
5,-,4.489608181,51.92035257,4.447512272,51.92532455,2.948396527,1170,218,2,21600
5,-,4.447512272,51.92532455,4.456214595,51.9380645,1.538718804,218,541,2,21600
5,-,4.456214595,51.9380645,4.962675757,52.10695734,39.51920548,541,386,2,21600
5,-,4.962675757,52.10695734,5.175215266,52.06275902,15.37681421,386,942,2,21600
5,-,5.175215266,52.06275902,5.975036887,51.98789514,55.52722239,942,348,2,21600
5,-,5.975036887,51.98789514,6.218221039,52.16312938,25.65488232,348,1325,2,21600
5,-,6.218221039,52.16312938,6.930861421,52.30897815,51.31828677,1325,375,2,21600
5,-,6.930861421,52.30897815,7.344610112,52.32938148,28.30406603,375,617,2,21600
5,-,7.344610112,52.32938148,7.290068808,52.76436691,48.54538683,617,1002,2,21600
5,-,7.290068808,52.76436691,7.472023646,53.24414512,54.77208879,1002,892,2,21600
5,-,7.472023646,53.24414512,8.620803011,53.05141832,79.79772876,892,1111,2,21600
5,-,8.620803011,53.05141832,9.401707668,53.11381404,52.78608537,1111,1214,2,21600
5,-,9.401707668,53.11381404,10.08869647,53.38358272,54.81056356,1214,1025,2,21600
5,-,10.08869647,53.38358272,9.990953245,53.45421626,10.1993916,1025,560,2,21600
5,-,9.990953245,53.45421626,10.01288267,53.52366538,7.865236821,560,74,2,21600
5,-,10.01288267,53.52366538,9.999999144,53.55002464,3.055516965,74,84,2,21600
5,-,121.4365047,31.21645245,120.7585393,31.35224054,66.28786999,1103,1046,2,21600
5,-,120.7585393,31.35224054,119.4144706,32.15967681,155.6616637,1046,1030,2,21600
5,-,119.4144706,32.15967681,118.4930072,32.09231375,87.27267949,1030,1348,2,21600
5,-,118.4930072,32.09231375,117.964862,32.83513223,96.18201652,1348,253,2,21600
5,-,117.964862,32.83513223,117.3457522,32.87436011,58.11539883,253,649,2,21600
5,-,117.3457522,32.87436011,117.2313047,34.27841331,156.0922713,649,828,2,21600
5,-,117.2313047,34.27841331,115.8503377,34.4350806,128.2266215,828,185,2,21600
5,-,115.8503377,34.4350806,114.7824707,34.83581744,107.5325,185,1183,2,21600
5,-,114.7824707,34.83581744,113.6650927,34.75499615,102.6484187,1183,1399,2,21600
5,-,117.2313047,34.27841331,118.5083765,34.36630371,117.9373415,828,1155,2,21600
5,-,118.5083765,34.36630371,119.3549484,34.72798893,87.45203557,1155,1274,2,21600
5,-,9.761115954,52.37278308,9.746135158,52.37481198,1.04494026,1422,743,2,21600
5,-,9.746135158,52.37481198,9.67988176,52.35108821,5.22860434,743,1419,2,21600
5,-,9.67988176,52.35108821,9.649964465,52.32160073,3.863236715,1419,535,2,21600
5,-,9.649964465,52.32160073,9.678957958,52.24947373,8.266047946,535,48,2,21600
5,-,9.678957958,52.24947373,9.552256927,52.21505741,9.465727297,48,1408,2,21600
5,-,9.552256927,52.21505741,9.175232678,51.93194519,40.75050893,1408,1136,2,21600
5,-,9.175232678,51.93194519,8.517228593,51.64329181,55.61430969,1136,1008,2,21600
5,-,8.517228593,51.64329181,8.3317175,51.66879673,13.14782448,1008,803,2,21600
5,-,8.3317175,51.66879673,7.727951918,51.53816795,44.28350624,803,211,2,21600
5,-,7.727951918,51.53816795,7.285001656,51.28988631,41.38441994,211,1376,2,21600
5,-,7.285001656,51.28988631,7.034272761,51.21613016,19.33250063,1376,181,2,21600
5,-,7.034272761,51.21613016,6.779621955,51.22594381,17.8242871,181,69,2,21600
5,-,6.779621955,51.22594381,6.45118834,51.20007473,23.12928565,69,1106,2,21600
